x_coordinate,y_coordinate,no_packages
149, 414, 3
804, 632, 1
1253, 1908, 1
732, 588, 1
1402, 840, 1
47, 1662, 1
670, 1605, 1
572, 1913, 2
1335, 708, 1
1519, 1342, 2
1827, 1699, 1
1636, 1988, 1
1463, 535, 3
1021, 1086, 1
1239, 1665, 1
1895, 791, 1
1069, 1826, 1
1032, 1593, 1
780, 1047, 1
1441, 1842, 1
967, 470, 1
1147, 943, 1
1471, 98, 1
1981, 682, 1
925, 1854, 1
1833, 966, 1
1059, 1961, 2
1112, 1602, 1
274, 398, 1
1515, 67, 1
1545, 1442, 1
1819, 160, 1
1386, 208, 1
67, 1107, 1
406, 1251, 1
197, 1100, 1
1229, 1254, 2
450, 402, 1
985, 1805, 1
53, 1663, 1
346, 962, 1
1291, 1491, 3
816, 821, 1
1812, 449, 1
13, 1682, 3
43, 695, 1
881, 1887, 1
938, 1595, 2
809, 478, 1
1591, 1468, 1
1668, 92, 1
1369, 799, 1
1007, 880, 1
1356, 829, 1
320, 1025, 1
60, 1382, 1
470, 604, 1
238, 1627, 1
1846, 1786, 1
1329, 1232, 2
710, 1374, 1
1756, 995, 1
440, 1745, 1
150, 1052, 1
1441, 821, 1
1697, 1074, 1
900, 662, 1
503, 612, 1
760, 1188, 1
367, 1168, 1
1195, 80, 1
1051, 478, 1
1916, 480, 1
1569, 1479, 1
978, 270, 1
462, 1765, 1
311, 21, 1
137, 1308, 1
327, 1706, 1
119, 1599, 1
794, 923, 1
1315, 1950, 1
1297, 1579, 1
1661, 1012, 1
215, 844, 1
1, 1122, 2
196, 636, 1
604, 1639, 1
1895, 553, 1
764, 88, 1
685, 107, 1
1761, 1268, 1
1722, 1343, 1
256, 1531, 1
1046, 275, 2
814, 913, 1
1636, 302, 1
1264, 940, 1
1852, 114, 1
1681, 898, 1
