x_coordinate,y_coordinate,no_packages
1037, 203, 1
624, 506, 1
746, 1137, 1
1874, 981, 1
1134, 243, 1
821, 599, 1
611, 679, 1
1256, 957, 1
839, 1514, 1
947, 648, 1
1530, 1756, 1
1160, 452, 1
360, 1615, 1
145, 1597, 1
1934, 1768, 1
1386, 582, 3
1031, 570, 1
1321, 1575, 1
1381, 1845, 1
989, 749, 1
1703, 727, 1
1793, 1614, 1
429, 182, 1
1935, 1645, 1
1858, 1703, 4
1833, 957, 1
627, 469, 1
698, 1491, 1
818, 288, 1
863, 235, 2
1184, 1112, 1
1355, 628, 1
993, 1806, 1
1923, 584, 1
599, 623, 1
649, 1775, 1
149, 1012, 1
1707, 1020, 1
1039, 539, 2
234, 294, 1
158, 35, 1
213, 858, 1
349, 1257, 1
1774, 1725, 3
1868, 1160, 1
1129, 1006, 1
511, 1606, 1
1413, 843, 2
1455, 1895, 1
887, 436, 1
