x_coordinate,y_coordinate,no_packages
728, 203, 1
1442, 191, 1
361, 1277, 1
645, 1688, 1
1236, 26, 1
44, 1473, 1
1956, 1243, 2
1389, 938, 1
1374, 1727, 1
366, 154, 1
545, 560, 1
1277, 837, 1
1867, 742, 1
241, 1682, 1
216, 806, 1
1871, 812, 1
1649, 1060, 1
813, 583, 1
1602, 1749, 2
269, 1493, 1
1687, 301, 2
88, 294, 1
218, 146, 1
372, 509, 1
1549, 793, 1
1347, 403, 1
1856, 852, 1
1986, 1129, 2
1515, 1764, 1
1424, 251, 1
221, 363, 1
1061, 73, 3
596, 1172, 1
1774, 1687, 1
678, 1799, 2
892, 139, 1
1031, 340, 1
1446, 1973, 1
706, 1298, 1
658, 1048, 1
1450, 299, 1
1653, 635, 1
607, 486, 2
1097, 1780, 1
583, 125, 1
1127, 1659, 1
1343, 285, 2
1181, 1045, 1
1309, 1415, 2
675, 1014, 1
