x_coordinate,y_coordinate,no_packages
415, 161, 1
1342, 683, 1
198, 181, 1
1702, 858, 1
453, 142, 1
1390, 1269, 1
274, 641, 1
1289, 6, 1
267, 334, 3
1845, 428, 1
1927, 1431, 1
976, 1233, 2
654, 382, 1
1807, 1222, 1
837, 1832, 1
640, 226, 2
847, 591, 1
791, 424, 1
1976, 1854, 1
710, 755, 1
1269, 1579, 1
292, 1556, 1
1369, 950, 1
637, 995, 1
1264, 775, 1
995, 1619, 1
1653, 205, 3
578, 951, 1
263, 1656, 1
210, 1516, 1
448, 429, 1
554, 1036, 1
764, 1264, 1
174, 76, 2
1974, 101, 1
1058, 915, 1
726, 765, 3
446, 1356, 1
106, 1099, 1
751, 119, 1
82, 95, 1
1545, 1945, 3
1671, 35, 1
1805, 1532, 1
1165, 1589, 1
1294, 1026, 1
53, 503, 2
323, 1346, 1
1296, 1622, 1
121, 1579, 1
614, 184, 1
1496, 1148, 1
759, 1968, 1
1038, 436, 1
1031, 150, 1
1195, 130, 3
1315, 1308, 1
323, 393, 1
1385, 1609, 1
240, 1793, 4
1993, 275, 1
826, 636, 1
1395, 662, 1
1471, 369, 1
1674, 192, 1
1025, 1240, 1
1631, 1835, 1
1928, 931, 1
1711, 1271, 1
1041, 1016, 3
549, 324, 1
1909, 1129, 1
619, 1217, 1
1714, 338, 1
1857, 1774, 1
284, 65, 2
1587, 88, 1
758, 409, 1
669, 1330, 2
1822, 69, 1
1615, 1703, 1
888, 644, 1
1271, 679, 1
955, 1187, 1
456, 177, 1
689, 893, 1
528, 1908, 1
1972, 1768, 1
1868, 1172, 1
770, 41, 1
1218, 506, 1
1769, 1545, 1
1591, 1087, 1
903, 1013, 1
206, 1475, 2
17, 271, 1
1202, 983, 1
304, 779, 1
930, 1545, 1
1386, 985, 1
503, 1617, 2
587, 1418, 1
1944, 1744, 1
60, 854, 1
840, 10, 1
1360, 780, 1
84, 1971, 1
166, 1422, 1
621, 1110, 1
1642, 869, 1
801, 1284, 1
1683, 164, 1
1185, 743, 3
307, 1904, 1
169, 1651, 1
382, 482, 2
1829, 1776, 2
120, 1310, 1
1672, 1937, 1
603, 1926, 1
1183, 1166, 1
1806, 262, 1
32, 414, 1
1037, 1267, 1
1777, 462, 1
1732, 1633, 1
1609, 625, 4
979, 1250, 1
559, 1778, 2
54, 294, 3
1117, 441, 1
46, 1604, 1
899, 1066, 3
348, 1399, 1
785, 417, 1
1055, 1119, 1
1900, 584, 1
275, 21, 1
1923, 676, 1
1893, 897, 1
699, 1856, 3
219, 516, 1
602, 1366, 1
481, 1843, 1
969, 1230, 1
597, 334, 1
312, 857, 1
951, 358, 1
1452, 165, 1
189, 1439, 1
390, 17, 1
1180, 1604, 2
1807, 1350, 1
1428, 844, 1
1623, 942, 1
1981, 71, 1
1160, 1853, 3
1668, 677, 1
23, 1335, 1
1989, 1708, 1
1460, 337, 1
1902, 144, 2
878, 1676, 1
92, 815, 1
1454, 141, 1
895, 1416, 1
1763, 118, 1
784, 724, 1
206, 349, 1
541, 1908, 1
1500, 267, 1
489, 1168, 1
1031, 1763, 1
937, 920, 1
1531, 1785, 3
1567, 673, 1
1445, 1209, 1
387, 909, 1
1315, 1473, 2
1300, 1177, 1
1448, 659, 1
1971, 1159, 1
48, 164, 1
1599, 1274, 1
1486, 1668, 1
213, 45, 1
254, 567, 1
778, 1261, 1
1537, 579, 1
645, 48, 1
384, 96, 1
1282, 1329, 2
650, 50, 1
243, 1929, 1
1024, 841, 1
675, 1773, 1
540, 133, 1
1483, 320, 1
1841, 1023, 1
1937, 705, 1
754, 1932, 1
455, 804, 1
475, 1904, 2
1089, 1216, 1
581, 1836, 3
1443, 1455, 3
1927, 40, 2
932, 973, 1
1020, 898, 1
729, 1035, 1
769, 57, 1
954, 632, 2
1487, 1225, 1
1404, 1506, 1
39, 1302, 1
658, 1345, 1
98, 725, 1
745, 643, 1
479, 1887, 1
769, 359, 1
272, 1403, 1
40, 384, 1
363, 1093, 1
590, 1075, 1
253, 560, 1
552, 1540, 1
250, 286, 1
822, 1768, 1
1558, 490, 1
1244, 1220, 1
959, 1982, 2
832, 127, 1
1659, 1831, 1
82, 1594, 1
1569, 228, 1
1854, 612, 1
1708, 263, 1
184, 1397, 1
1335, 1119, 1
514, 1029, 1
875, 1173, 1
1794, 605, 1
996, 1411, 1
1151, 797, 1
936, 105, 1
999, 1922, 1
1630, 244, 1
41, 170, 1
735, 1967, 2
1434, 1922, 1
276, 1833, 1
1509, 1723, 1
673, 1605, 1
1352, 484, 2
1739, 389, 1
1588, 1575, 2
364, 1087, 1
562, 1394, 1
864, 520, 1
1738, 1047, 1
39, 31, 1
1882, 1514, 1
1683, 1785, 1
1363, 1809, 1
423, 1150, 1
783, 1833, 1
1259, 944, 1
1349, 1587, 1
1777, 51, 2
1279, 753, 4
1192, 147, 1
337, 1755, 1
341, 1515, 2
593, 1675, 1
1912, 1847, 1
191, 957, 1
731, 1415, 2
794, 1488, 1
1201, 1196, 1
793, 298, 1
127, 1952, 1
275, 74, 1
214, 39, 1
6, 45, 1
542, 567, 3
60, 93, 1
1547, 953, 1
167, 796, 2
402, 1787, 1
1163, 1384, 1
1623, 771, 1
1688, 654, 1
363, 548, 1
1304, 862, 1
1879, 767, 1
1887, 1029, 1
719, 777, 1
471, 1478, 1
1996, 870, 1
498, 9, 1
637, 1877, 1
1230, 708, 1
457, 1219, 1
891, 878, 1
1197, 885, 2
1064, 231, 3
637, 1031, 1
873, 1724, 1
416, 1669, 1
861, 442, 1
549, 317, 1
949, 73, 2
199, 1473, 1
348, 882, 1
1703, 606, 1
917, 1546, 1
1685, 1268, 1
326, 1865, 1
395, 1926, 1
950, 1451, 1
1883, 528, 1
1573, 275, 1
1720, 1333, 2
539, 537, 1
1752, 1947, 3
570, 1801, 1
324, 1848, 1
806, 1149, 2
1243, 562, 1
1590, 381, 1
940, 1421, 1
469, 650, 1
1498, 559, 3
563, 1066, 4
1356, 1403, 1
482, 1528, 1
1119, 983, 1
1824, 1160, 1
973, 1823, 1
1770, 1259, 1
547, 680, 1
316, 541, 1
136, 1545, 1
1789, 468, 1
1957, 699, 1
1063, 1738, 3
1747, 1192, 1
473, 1459, 1
1597, 31, 1
1507, 1714, 2
277, 568, 1
330, 460, 1
98, 1622, 1
1150, 1550, 1
561, 789, 1
1393, 1056, 1
1698, 17, 1
136, 312, 1
1212, 1387, 3
955, 186, 1
1189, 11, 1
631, 1401, 1
223, 1963, 1
1147, 934, 1
1027, 197, 1
70, 183, 3
599, 1507, 1
1231, 661, 1
843, 160, 1
375, 1270, 1
370, 134, 1
988, 314, 1
1961, 408, 1
965, 1738, 2
720, 1218, 4
1329, 786, 1
1883, 101, 1
396, 386, 1
987, 1868, 1
1176, 1490, 3
1748, 1665, 1
322, 199, 1
1044, 929, 1
1038, 1295, 1
684, 578, 4
138, 522, 1
1337, 1735, 1
684, 178, 1
1868, 1040, 1
825, 50, 1
1461, 51, 4
958, 331, 1
164, 1426, 1
137, 1886, 2
1560, 644, 1
1277, 1349, 1
123, 1857, 2
533, 1677, 1
1132, 62, 2
418, 740, 1
1706, 1090, 1
1481, 1494, 1
538, 651, 3
1043, 319, 1
145, 1261, 1
1951, 1328, 1
1897, 87, 1
1163, 1311, 2
1435, 1033, 1
43, 858, 1
1489, 659, 1
1947, 520, 1
1071, 368, 1
494, 156, 2
374, 203, 1
1261, 973, 1
1064, 1596, 1
647, 925, 1
608, 1283, 1
1819, 1949, 2
1923, 165, 3
1157, 512, 1
1300, 475, 1
921, 1337, 1
1710, 165, 1
1050, 537, 1
547, 1717, 1
127, 1593, 1
1783, 1443, 2
798, 726, 1
541, 612, 1
1593, 530, 1
873, 1279, 1
983, 914, 1
427, 223, 1
1541, 35, 1
731, 1933, 1
415, 679, 1
1366, 350, 3
928, 1166, 1
113, 1963, 1
1216, 243, 1
405, 1670, 1
213, 1271, 1
1855, 471, 1
1034, 1756, 1
1309, 780, 1
1097, 144, 1
468, 1967, 2
1561, 1019, 3
1305, 1302, 1
1617, 1594, 1
1641, 1684, 3
1402, 1988, 1
1579, 3, 1
560, 581, 1
1369, 700, 1
1394, 166, 1
1924, 1887, 1
365, 1322, 1
1530, 1937, 1
7, 739, 1
590, 1764, 2
172, 1568, 1
1929, 1833, 2
1181, 245, 1
1941, 429, 1
1167, 1886, 1
764, 994, 1
40, 1912, 1
1050, 1947, 2
1595, 57, 1
300, 704, 1
1344, 1692, 3
1929, 884, 2
61, 1757, 3
930, 424, 1
429, 1731, 1
1232, 159, 1
196, 316, 1
1796, 1636, 1
1321, 1764, 3
1876, 782, 1
924, 607, 1
567, 871, 1
1579, 1969, 1
1946, 152, 1
1183, 1091, 1
127, 292, 1
72, 222, 1
1849, 1513, 1
1504, 680, 2
489, 1933, 1
1957, 1082, 2
363, 378, 1
949, 1251, 1
864, 1860, 1
1911, 876, 1
1820, 1871, 1
551, 1609, 1
