x_coordinate,y_coordinate,no_packages
1369, 694, 1
649, 1000, 1
845, 931, 1
762, 853, 1
478, 180, 1
1394, 1304, 1
1569, 406, 1
1938, 773, 1
1368, 927, 3
895, 232, 1
726, 1660, 1
1738, 171, 1
520, 517, 1
1553, 1884, 1
1962, 1138, 1
373, 1310, 1
1557, 1751, 1
91, 1388, 1
1626, 1325, 1
928, 1705, 1
1098, 1759, 1
1976, 268, 1
551, 704, 1
1034, 950, 1
1227, 1537, 1
192, 176, 4
602, 1806, 1
1493, 980, 1
8, 1751, 1
1216, 293, 1
1412, 1374, 1
1934, 1980, 1
160, 1558, 1
794, 7, 1
456, 239, 1
1811, 1311, 2
913, 1167, 1
116, 493, 1
475, 429, 2
1220, 27, 4
1479, 1757, 1
400, 639, 1
31, 1547, 1
1467, 705, 1
1268, 1375, 1
723, 499, 1
1945, 344, 1
1405, 400, 2
1393, 1281, 1
549, 1826, 1
