x_coordinate,y_coordinate,no_packages
1104, 879, 1
1140, 560, 2
988, 1412, 1
427, 1330, 2
554, 749, 1
855, 1832, 1
270, 22, 1
730, 1512, 3
862, 1707, 1
1219, 957, 1
337, 199, 1
1181, 1720, 1
1465, 474, 1
1363, 1024, 2
974, 317, 1
1916, 1371, 1
1546, 575, 1
1092, 116, 1
1923, 1756, 1
1043, 1847, 1
468, 695, 1
1892, 751, 1
167, 1009, 1
66, 1066, 1
1724, 1821, 1
1042, 133, 1
605, 1369, 1
789, 613, 1
116, 83, 1
267, 1858, 1
1691, 1968, 1
801, 1926, 1
1596, 1083, 1
1995, 911, 1
1599, 384, 1
1303, 1858, 1
1170, 326, 2
1155, 661, 1
1769, 1373, 1
852, 1400, 1
1295, 1101, 1
1135, 394, 1
672, 1445, 1
868, 1396, 1
436, 1768, 1
1957, 1107, 1
1787, 1146, 1
1515, 219, 1
185, 576, 1
473, 197, 1
58, 1874, 1
1753, 174, 2
522, 654, 3
1495, 1814, 1
1298, 1314, 1
1777, 373, 2
1573, 924, 1
806, 741, 1
1853, 1546, 1
1313, 1332, 1
1428, 954, 1
1965, 1145, 1
974, 655, 1
1323, 820, 1
597, 1103, 2
490, 480, 1
1525, 1363, 1
1161, 703, 1
379, 115, 1
1673, 978, 1
1288, 1365, 1
1393, 1590, 1
391, 1502, 1
74, 1796, 1
1145, 170, 1
788, 1980, 1
612, 116, 1
209, 1210, 1
132, 955, 1
1080, 1013, 1
1723, 760, 1
1335, 1325, 1
1230, 459, 1
1093, 1952, 1
1654, 1231, 2
957, 707, 1
1965, 1490, 1
1676, 1510, 1
1008, 1229, 1
337, 1028, 1
324, 782, 1
33, 327, 1
1276, 415, 1
1298, 113, 1
1635, 1621, 1
1159, 895, 1
727, 649, 1
868, 547, 1
1482, 778, 1
391, 274, 1
1202, 561, 1
144, 555, 2
1343, 1945, 1
716, 560, 1
35, 299, 1
262, 662, 1
524, 1046, 1
1561, 806, 1
1596, 1965, 1
1109, 1332, 1
855, 820, 1
517, 827, 1
816, 58, 1
575, 614, 1
1752, 1798, 1
1920, 610, 1
1767, 1853, 1
385, 1069, 1
1955, 1304, 1
668, 1737, 1
830, 1843, 1
213, 472, 1
1368, 605, 1
989, 1946, 1
1529, 299, 1
1036, 1718, 3
128, 790, 1
798, 1578, 1
1045, 1259, 1
931, 422, 2
1059, 705, 1
431, 1391, 1
444, 1696, 1
452, 1861, 1
1327, 561, 1
124, 92, 1
257, 527, 3
1885, 642, 1
1378, 7, 1
1353, 1451, 2
1044, 1220, 1
917, 783, 1
658, 1579, 1
19, 1117, 1
464, 315, 1
1923, 1367, 1
806, 1541, 2
503, 1706, 1
202, 1861, 1
1221, 1117, 1
1945, 916, 1
1114, 859, 1
741, 1928, 1
1885, 1195, 2
206, 765, 1
363, 411, 1
207, 1794, 1
448, 1752, 1
35, 1596, 1
663, 1581, 2
325, 1094, 1
915, 1836, 1
893, 1590, 1
549, 1646, 1
1599, 501, 1
1177, 1539, 1
1998, 27, 1
1483, 528, 2
731, 1407, 1
1883, 406, 1
1931, 1421, 1
1156, 186, 1
481, 1261, 1
920, 1868, 3
601, 866, 1
487, 438, 1
1563, 1412, 1
1001, 1222, 1
1296, 116, 1
18, 1894, 1
1849, 1174, 1
838, 1577, 1
1900, 1376, 1
1464, 1619, 1
929, 196, 1
1415, 967, 1
320, 997, 2
1812, 1800, 1
443, 198, 1
617, 1141, 1
616, 1602, 1
811, 210, 1
1362, 1089, 1
1173, 1225, 1
1750, 1137, 1
181, 255, 1
601, 1407, 1
1395, 1232, 1
1731, 217, 1
1522, 409, 1
