x_coordinate,y_coordinate,no_packages
728, 119, 1
1895, 27, 1
916, 163, 1
376, 1096, 1
1474, 1191, 1
1121, 341, 1
1709, 400, 1
977, 1670, 1
1123, 1596, 1
374, 993, 1
874, 881, 1
1552, 152, 1
1584, 670, 1
667, 1509, 1
566, 1515, 1
726, 1913, 1
1926, 987, 1
1511, 686, 1
1222, 861, 1
591, 1866, 1
1463, 235, 1
1196, 1278, 1
1673, 1541, 1
250, 1848, 1
1533, 429, 1
1992, 638, 1
1221, 1693, 1
316, 1830, 2
521, 1920, 1
1433, 312, 1
1967, 682, 1
1899, 802, 2
1420, 114, 1
1571, 29, 1
159, 189, 1
375, 1980, 1
375, 1256, 1
1389, 125, 1
1204, 635, 1
1999, 1528, 1
1269, 140, 1
568, 1532, 1
1445, 1105, 1
219, 1435, 1
672, 251, 2
1773, 1115, 1
839, 1561, 1
1665, 394, 1
1360, 1932, 1
1560, 1750, 1
