x_coordinate,y_coordinate,no_packages
1711, 332, 1
449, 907, 1
1629, 1176, 1
1196, 1876, 1
581, 1022, 1
1825, 572, 4
1907, 810, 1
1048, 1122, 1
384, 396, 1
1060, 749, 1
1996, 841, 1
1155, 1889, 1
1556, 790, 1
1380, 637, 1
890, 1364, 2
1448, 510, 1
88, 1069, 1
296, 239, 1
65, 1826, 1
1116, 963, 1
1133, 700, 1
1009, 63, 2
1473, 1580, 2
799, 500, 1
653, 679, 1
990, 1421, 1
640, 983, 1
1355, 167, 1
1584, 1250, 1
1426, 728, 1
695, 793, 1
1368, 1462, 1
926, 772, 1
1109, 372, 1
1983, 254, 1
517, 1628, 1
944, 316, 1
1885, 674, 1
103, 460, 1
1666, 1562, 1
1633, 775, 1
1002, 99, 2
1663, 1558, 1
1833, 1187, 1
1598, 1940, 1
690, 88, 1
1149, 1921, 1
1058, 56, 2
1456, 377, 1
688, 152, 1
