x_coordinate,y_coordinate,no_packages
1597, 1401, 1
867, 963, 1
117, 733, 1
433, 1619, 1
1856, 646, 2
1400, 1729, 1
907, 1647, 1
1873, 1966, 1
261, 1891, 1
1295, 36, 1
1128, 150, 1
1874, 70, 1
1485, 507, 1
74, 317, 1
473, 1230, 1
741, 293, 2
1936, 1922, 1
995, 348, 1
325, 528, 1
36, 1743, 1
770, 1512, 1
1145, 190, 1
598, 125, 1
1293, 1708, 1
1267, 1240, 1
1563, 1594, 1
1823, 264, 1
467, 440, 1
814, 697, 2
1977, 1772, 1
1521, 356, 1
1679, 681, 1
1029, 515, 1
961, 1756, 2
1251, 1979, 1
914, 712, 1
17, 1537, 1
824, 1011, 1
22, 407, 1
1747, 1041, 1
1620, 1506, 1
656, 113, 1
1304, 499, 1
891, 667, 2
715, 3, 1
433, 1038, 1
1631, 1065, 1
502, 1288, 1
969, 1301, 1
917, 18, 1
579, 131, 1
832, 1065, 1
507, 1327, 1
1096, 622, 1
938, 368, 1
831, 650, 1
1860, 1400, 1
1426, 701, 1
634, 511, 1
990, 882, 1
369, 235, 1
6, 1598, 1
308, 87, 1
923, 1976, 1
750, 396, 1
1776, 335, 1
480, 1578, 1
314, 265, 1
853, 1506, 1
803, 999, 1
370, 284, 1
683, 901, 1
859, 1545, 1
1246, 1737, 1
1464, 307, 1
1451, 378, 1
701, 44, 2
1155, 1691, 1
614, 368, 1
1221, 493, 1
158, 1779, 1
712, 178, 2
1402, 820, 1
1849, 555, 1
785, 1066, 1
1231, 1813, 1
1271, 363, 1
1206, 1740, 1
1891, 1113, 2
1431, 1544, 1
3, 452, 1
1238, 1326, 1
376, 644, 1
422, 1849, 1
1802, 690, 1
498, 1766, 1
1597, 1707, 2
1643, 464, 1
1087, 525, 1
864, 607, 1
1641, 841, 1
1266, 1775, 1
1385, 1342, 1
829, 1894, 1
788, 1747, 1
1562, 246, 1
1379, 445, 1
160, 845, 1
1307, 1448, 1
1907, 1678, 3
84, 1984, 1
1698, 708, 1
552, 751, 1
164, 434, 1
976, 1886, 3
266, 182, 1
570, 64, 1
1650, 389, 1
16, 1701, 1
1314, 1399, 1
1019, 60, 2
1310, 949, 1
259, 828, 1
680, 1574, 1
1573, 1560, 2
1093, 366, 1
1993, 1601, 1
1291, 1042, 2
1232, 1922, 1
246, 1819, 1
810, 849, 1
1058, 1640, 1
1041, 841, 2
378, 176, 1
1072, 991, 1
1751, 1011, 2
1938, 1588, 1
862, 515, 1
1163, 1045, 1
569, 1954, 1
1862, 721, 2
670, 1221, 1
762, 748, 1
178, 7, 1
24, 1050, 1
1773, 1128, 1
1438, 593, 1
1117, 1284, 2
1890, 63, 1
1264, 1417, 1
1841, 410, 1
659, 1754, 3
721, 256, 1
12, 1284, 2
861, 1656, 1
212, 1463, 1
924, 1085, 1
26, 883, 1
977, 1937, 1
260, 54, 1
1598, 215, 1
301, 663, 1
937, 82, 1
1458, 175, 1
1000, 1494, 1
586, 342, 1
1736, 127, 1
1123, 1209, 2
1285, 1929, 1
344, 1122, 1
720, 1255, 1
1416, 1158, 1
598, 53, 1
1402, 1831, 1
1073, 376, 1
574, 1801, 1
1874, 1863, 2
126, 1561, 1
824, 696, 1
39, 296, 1
323, 374, 1
1571, 153, 1
1358, 1056, 2
70, 1644, 1
513, 1341, 1
1103, 1900, 1
1852, 108, 1
1430, 1708, 1
324, 1333, 1
1591, 251, 1
1716, 533, 1
408, 549, 1
514, 787, 1
696, 854, 1
644, 999, 1
421, 773, 1
239, 896, 1
503, 1567, 2
1417, 1371, 1
1762, 423, 1
1691, 207, 1
47, 483, 1
1176, 224, 1
1911, 178, 1
835, 31, 1
1319, 1480, 1
613, 460, 1
1754, 490, 1
1866, 1150, 1
275, 197, 1
166, 995, 1
1965, 878, 2
1942, 1380, 1
1389, 507, 1
637, 359, 1
1473, 1885, 1
1441, 1169, 1
1860, 216, 1
748, 1460, 1
556, 450, 2
1846, 1131, 1
874, 1707, 1
1227, 809, 2
1362, 1031, 1
636, 479, 1
564, 1576, 1
576, 1943, 1
1381, 1766, 1
528, 1707, 1
790, 805, 1
1068, 1090, 1
1414, 638, 1
496, 554, 1
999, 302, 2
1012, 1795, 1
1393, 152, 1
1667, 1345, 2
412, 988, 1
1004, 1918, 1
1544, 57, 1
223, 546, 1
164, 701, 1
393, 628, 1
1740, 794, 1
417, 369, 1
161, 1178, 1
55, 1077, 1
1380, 783, 1
914, 636, 1
349, 847, 1
1040, 1437, 1
281, 702, 1
757, 564, 1
1735, 1734, 1
1524, 1927, 1
1095, 1153, 1
52, 1705, 1
591, 1394, 1
1080, 1444, 1
42, 1677, 1
1672, 250, 1
136, 1123, 1
76, 152, 1
59, 563, 1
1212, 94, 3
809, 369, 1
1806, 648, 1
1163, 63, 1
1072, 1582, 1
866, 703, 3
1901, 25, 1
1175, 1863, 1
1726, 1828, 1
1750, 987, 1
1439, 1698, 1
