x_coordinate,y_coordinate,no_packages
1845, 610, 1
124, 232, 1
279, 170, 2
1533, 1909, 3
962, 332, 1
589, 525, 1
310, 1070, 1
542, 1458, 1
1199, 1705, 1
1367, 1043, 1
1144, 1256, 1
1018, 928, 3
1725, 838, 1
1070, 1766, 1
1887, 1613, 1
1048, 28, 1
1323, 1040, 1
911, 1837, 1
485, 1557, 1
479, 1916, 1
759, 1859, 2
856, 498, 1
1761, 1979, 3
579, 1330, 1
1161, 1998, 1
15, 316, 1
1634, 974, 1
264, 1523, 1
381, 704, 1
19, 1236, 1
1823, 485, 1
1670, 602, 1
36, 1652, 2
1227, 934, 1
305, 1503, 1
918, 361, 1
1966, 290, 2
438, 1590, 1
1930, 1878, 1
765, 214, 1
463, 786, 1
455, 1981, 1
1316, 1456, 1
327, 1452, 1
1681, 1078, 1
1160, 984, 1
1637, 1912, 1
598, 471, 1
963, 1555, 1
1584, 447, 1
70, 1872, 1
794, 5, 2
815, 53, 1
1080, 179, 1
962, 587, 1
1068, 449, 2
1087, 1324, 1
799, 612, 1
1761, 132, 1
1071, 605, 1
1374, 1087, 1
506, 2, 1
1412, 977, 1
997, 1667, 1
620, 432, 2
1370, 1657, 1
838, 356, 1
1479, 657, 1
1192, 931, 1
976, 821, 1
1434, 1871, 1
406, 1167, 1
1937, 1958, 2
643, 408, 1
1704, 579, 1
731, 1936, 1
792, 815, 1
1781, 1283, 1
1969, 1722, 1
114, 995, 1
1784, 1854, 2
141, 1343, 1
1080, 261, 1
1831, 1408, 1
337, 751, 1
365, 554, 1
171, 1557, 1
1928, 535, 1
742, 453, 1
999, 695, 1
390, 1804, 1
694, 1065, 1
899, 586, 1
768, 24, 1
843, 1148, 1
1106, 1705, 1
1689, 68, 1
1976, 228, 1
980, 713, 1
244, 1634, 1
