x_coordinate,y_coordinate,no_packages
91,595,2
1867,1210,1
1247,433,1
1046,1465,1
1040,1604,1
704,1924,1
1701,1193,1
1487,307,1
1329,160,3
1963,1915,4
1157,1031,4
1290,1122,1
1103,1501,1
1799,1080,1
1243,967,1
1065,903,1
399,1712,1
1865,499,1
1636,1572,3
472,933,1
1991,236,1
911,1500,3
839,741,1
1147,1035,1
741,1338,1
471,919,1
470,1166,1
256,1895,1
1590,1862,1
1197,1363,1
533,1629,1
642,241,1
862,1034,4
1179,1012,1
1582,405,2
1794,929,1
247,857,1
1135,1456,2
1521,206,1
69,1707,1
1413,341,4
271,1054,2
1881,794,2
725,261,1
1140,494,1
243,689,2
1839,689,1
1262,220,4
92,151,1
726,1945,1
837,1291,1
1709,892,1
977,1433,1
375,1482,1
1876,1679,2
171,311,2
1215,1214,1
1329,928,1
898,361,1
1204,572,3
198,475,1
698,98,1
1837,1075,1
1728,1900,1
661,786,1
365,1952,1
1667,1935,1
1497,431,1
569,1177,2
643,203,1
339,242,1
996,898,1
346,590,2
531,1241,1
1893,474,1
288,196,1
1717,1041,1
56,1225,2
1965,1824,1
1636,399,1
1704,1684,1
416,577,3
1169,873,1
1066,258,1
604,1880,1
1446,1882,1
910,1820,1
538,177,2
570,1498,1
1983,724,1
1524,1624,1
152,669,1
686,565,1
1506,1050,1
151,1447,1
1827,1893,1
205,1909,1
1067,650,1
1143,1353,1
1282,72,3
1284,16,1
1200,770,2
450,1379,1
962,310,1
383,1502,1
269,406,1
181,1947,1
1481,1534,1
889,137,1
1251,427,1
79,856,1
1256,778,1
480,1306,1
1086,1345,3
1797,614,1
1792,598,1
1003,1631,1
1224,731,1
605,197,1
1972,1804,2
1564,588,1
915,666,1
870,237,1
1958,653,1
711,1427,1
262,1584,2
1720,1648,2
1230,843,1
59,595,1
440,1822,2
837,124,1
661,535,1
842,801,1
870,816,1
111,549,1
448,695,1
93,631,1
453,1172,2
1097,422,1
225,1941,3
1250,675,1
1105,40,3
43,1643,1
1598,1443,1
722,1570,1
129,1341,1
431,741,1
321,1716,1
1760,1470,1
1641,330,2
678,846,1
1501,509,3
73,1731,1
1925,1078,1
814,1620,1
321,579,1
471,1293,1
506,69,1
253,1665,1
1342,820,1
1516,1795,1
173,156,1
1478,1440,1
850,41,1
1700,1109,1
310,195,1
1623,801,1
1240,1759,1
662,870,1
47,618,1
415,204,1
1343,1180,1
596,879,1
1980,832,1
989,582,2
1092,1037,1
35,1017,1
1948,763,1
1463,221,1
1183,1997,1
1579,475,1
976,1153,1
636,680,1
1290,1998,1
1148,346,1
1929,1003,1
171,289,1
1716,969,1
1719,1160,1
120,1571,1
843,637,1
1708,308,1
1411,1157,1
1784,11,1
428,1546,1
1000,1117,1
1965,1335,1
944,1451,1
1136,1758,1
1501,166,2
871,1432,1
260,1550,1
1064,1532,1
404,896,2
232,79,2
1014,349,1
1074,997,1
1790,1120,1
18,607,1
602,1474,2
1385,555,1
1259,1821,1
1331,339,1
1071,1402,1
1257,1949,1
1063,1238,1
947,431,2
1898,1529,1
1745,1900,1
1073,1464,1
20,650,1
307,963,1
11,638,1
408,1421,1
939,677,1
1279,959,1
136,717,1
1809,462,1
28,1900,1
582,1680,2
872,1196,1
752,1278,1
1913,521,1
1313,1350,1
1213,312,1
443,573,1
1154,209,1
1069,1202,1
784,676,1
1747,1212,1
1979,1653,1
1261,1369,2
428,344,1
474,443,1
1645,1259,1
337,973,2
662,159,2
106,280,1
900,871,1
669,619,1
240,493,1
772,1584,1
971,727,1
1069,649,1
1808,1239,1
1956,340,3
1707,568,1
1720,895,1
1003,1423,1
1403,246,1
891,1335,1
51,1773,1
954,1578,1
1491,868,1
1146,1794,4
1923,391,1
366,1911,1
21,401,1
1077,399,1
635,672,1
755,1875,1
1887,26,1
68,1325,1
980,815,1
1424,1442,1
1280,117,3
1686,62,2
1899,964,4
1294,930,1
969,1535,2
1537,1117,1
78,756,1
1831,1460,1
1507,362,2
269,169,1
1732,244,1
1305,1455,1
199,1756,1
1746,397,1
1510,34,1
1376,1737,2
1838,1452,1
1201,1478,3
1057,29,3
825,852,1
1371,125,1
1689,1559,1
1492,546,1
908,91,1
406,1410,1
354,1301,1
1715,1927,1
560,1148,1
699,954,1
1426,176,1
948,180,1
185,373,1
380,650,1
1977,41,1
1615,21,1
767,942,1
1483,1931,1
1714,1394,1
1846,1770,1
1547,1511,1
109,776,1
364,571,1
