x_coordinate,y_coordinate,no_packages
538, 1004, 1
1241, 1091, 2
1490, 1349, 1
1794, 1967, 1
146, 1837, 1
274, 217, 1
493, 1579, 1
1936, 752, 1
175, 1157, 1
785, 462, 1
1656, 1407, 1
487, 1516, 1
1407, 56, 1
766, 1782, 1
1909, 198, 1
1832, 435, 1
1401, 1454, 1
1275, 210, 1
1498, 192, 1
416, 1575, 1
833, 729, 1
1807, 1165, 1
907, 851, 1
960, 1387, 1
426, 1080, 1
808, 391, 1
1069, 1629, 1
1369, 1674, 1
525, 497, 1
398, 1134, 1
918, 841, 1
1752, 1077, 1
1271, 1525, 1
289, 494, 1
1804, 1135, 1
999, 1671, 1
1320, 659, 1
1597, 1821, 1
222, 1685, 1
559, 1666, 1
372, 1724, 1
1796, 1871, 1
152, 1184, 1
719, 1394, 1
464, 975, 1
1147, 982, 1
1602, 923, 1
1196, 1247, 1
505, 769, 2
1364, 732, 1
