x_coordinate,y_coordinate,no_packages
652, 224, 1
838, 954, 1
546, 592, 1
1509, 1785, 1
1261, 33, 1
353, 249, 1
794, 210, 2
1496, 1923, 1
403, 1325, 1
130, 910, 1
971, 524, 1
165, 1827, 1
327, 553, 1
626, 1218, 1
1451, 195, 1
983, 230, 1
254, 1581, 1
843, 66, 1
1690, 107, 1
1757, 476, 1
73, 703, 2
130, 1373, 1
930, 1263, 2
37, 544, 1
1878, 1497, 2
757, 908, 1
1936, 1077, 1
1589, 1965, 1
1526, 185, 1
1421, 1634, 1
1724, 293, 1
1287, 841, 1
1086, 1910, 1
1438, 404, 1
637, 511, 1
386, 938, 2
1118, 340, 1
1071, 830, 1
901, 124, 1
1930, 1032, 1
661, 1966, 1
287, 1958, 1
1034, 580, 2
472, 1854, 1
1249, 641, 1
1199, 222, 1
1519, 926, 1
1618, 1528, 1
317, 698, 1
217, 812, 1
1563, 520, 1
657, 1205, 1
228, 720, 1
726, 722, 1
1115, 1184, 1
310, 575, 1
1294, 794, 1
762, 978, 1
1289, 1791, 1
292, 144, 1
431, 313, 1
938, 1013, 2
1486, 579, 1
1031, 1740, 1
186, 1807, 1
490, 251, 1
1952, 186, 1
298, 1783, 1
388, 296, 2
1180, 1097, 1
768, 1337, 3
1876, 1933, 3
500, 855, 1
1426, 824, 2
1218, 1053, 1
182, 1499, 1
1075, 188, 1
900, 1687, 1
1800, 139, 1
1878, 989, 1
1624, 830, 1
978, 641, 1
662, 981, 1
1382, 1665, 1
1809, 551, 1
1938, 947, 3
1438, 168, 1
61, 1871, 1
1533, 232, 1
1722, 1242, 1
1209, 1482, 1
1935, 1909, 1
1954, 317, 1
34, 999, 1
1695, 1139, 1
653, 1786, 1
859, 975, 1
1006, 1040, 1
1757, 509, 1
651, 1921, 1
68, 252, 1
1244, 1928, 1
1801, 1659, 1
1084, 868, 1
1178, 678, 1
735, 997, 1
1323, 1449, 1
940, 1444, 1
1187, 1631, 1
1460, 114, 1
432, 225, 1
