x_coordinate,y_coordinate,no_packages
1851,1849,1
1636,471,1
721,448,1
1271,513,1
1476,1571,1
1716,280,1
1850,1285,1
632,1615,1
1186,747,1
184,1862,1
1530,850,1
270,1610,1
1989,749,1
1870,558,1
526,1871,1
986,1981,1
1528,1782,1
235,959,3
288,1544,3
1761,1385,1
813,1980,1
1141,749,1
808,28,1
253,931,1
1533,1376,1
780,1684,1
760,221,1
965,51,1
1931,1149,1
1249,453,1
1301,1687,1
1435,618,1
238,286,1
76,623,4
237,199,1
1100,277,1
759,1373,3
1426,1937,1
1202,1520,1
1813,849,1
1707,1002,1
1923,1948,1
1413,758,1
910,1946,1
742,203,4
752,1115,2
1320,734,1
565,388,3
1943,1736,1
187,1357,1
