x_coordinate,y_coordinate,no_packages
1249, 843, 1
990, 1446, 1
906, 947, 1
671, 1013, 1
883, 1585, 1
405, 144, 1
1929, 632, 1
741, 1460, 1
601, 856, 1
310, 1955, 1
1075, 972, 1
801, 734, 1
1386, 1480, 1
292, 375, 1
1667, 1478, 1
1702, 198, 1
494, 1944, 1
1495, 1023, 1
1419, 1863, 1
1136, 810, 1
970, 1593, 1
1235, 140, 1
1101, 627, 1
1935, 1412, 1
769, 1955, 1
1339, 903, 2
1039, 1021, 1
1131, 1462, 1
896, 1251, 1
478, 812, 2
15, 704, 1
373, 231, 1
655, 1462, 1
1166, 1072, 1
1514, 480, 1
11, 1800, 1
135, 77, 1
611, 854, 2
1234, 329, 2
550, 1095, 1
179, 1194, 1
1795, 1689, 3
198, 901, 1
77, 1357, 3
956, 1861, 2
1209, 906, 1
1368, 498, 1
1931, 1676, 1
1593, 1747, 1
388, 1554, 1
