x_coordinate,y_coordinate,no_packages
1752, 1621, 1
425, 339, 1
510, 1068, 1
1676, 1668, 1
1465, 192, 1
384, 142, 1
546, 1167, 1
1841, 342, 1
543, 981, 1
862, 1393, 1
1363, 926, 1
449, 907, 2
485, 1719, 3
1507, 1229, 1
1762, 1392, 1
1876, 115, 1
775, 393, 1
138, 1169, 1
1535, 1506, 1
967, 1780, 1
1661, 1688, 1
154, 925, 2
187, 1745, 1
156, 1387, 1
1108, 679, 1
1486, 1092, 1
1778, 211, 1
402, 956, 1
1513, 727, 1
997, 209, 1
1926, 690, 1
1405, 877, 1
1735, 331, 1
1190, 944, 1
750, 969, 1
1483, 453, 1
422, 1387, 1
646, 1191, 1
412, 807, 1
1069, 1168, 1
1176, 1430, 3
245, 1978, 1
435, 1555, 1
136, 1488, 1
233, 1732, 1
118, 1507, 1
1956, 369, 1
1623, 1409, 1
772, 900, 1
476, 1282, 1
1812, 129, 2
994, 1276, 1
1497, 18, 1
1486, 989, 1
875, 192, 1
1052, 1795, 1
1425, 1133, 1
1708, 990, 1
1449, 1801, 1
340, 697, 2
1803, 777, 1
441, 127, 1
932, 1001, 1
637, 540, 1
1841, 1531, 2
371, 1069, 1
1539, 269, 1
1342, 1196, 1
1569, 1748, 1
1084, 590, 1
209, 1902, 1
1043, 768, 1
54, 657, 1
947, 1552, 1
193, 122, 1
1172, 1021, 1
322, 1142, 1
50, 1784, 1
1881, 1810, 2
349, 1468, 1
16, 1279, 1
1203, 1841, 1
1499, 842, 1
1178, 626, 1
172, 179, 1
1184, 1712, 1
633, 455, 2
364, 13, 1
1539, 919, 1
1818, 1445, 1
1076, 1250, 1
1419, 784, 1
1289, 1912, 1
583, 987, 2
1237, 781, 1
1161, 307, 1
1246, 1242, 1
692, 1978, 1
1505, 1306, 2
1246, 324, 1
