x_coordinate,y_coordinate,no_packages
281,317,1
1729,1614,1
1578,1105,1
1809,1078,1
689,1794,1
268,1223,1
332,370,1
1579,1279,1
339,1476,1
841,746,1
486,1985,1
583,1540,1
919,479,1
633,1977,1
960,1851,1
753,1389,3
902,945,1
1593,782,1
857,1978,1
408,1640,1
1787,512,1
984,1790,1
1913,210,1
1056,1743,1
171,1562,1
920,1854,1
1701,895,1
1864,454,1
1811,715,2
849,109,1
765,482,1
167,767,1
652,1906,1
1463,1331,1
299,281,1
1878,1699,1
1702,284,1
960,918,1
1855,162,1
441,1710,1
1925,1489,1
866,227,1
486,616,1
488,859,1
1275,936,1
1713,1853,1
1097,33,1
1177,495,1
596,879,1
722,492,1
383,1360,1
1072,1996,1
1952,1077,1
1610,1039,1
799,1788,1
1301,792,4
519,1530,1
1614,138,1
1501,1345,1
1580,1191,1
680,273,1
1118,693,1
358,1700,1
951,1424,1
373,1661,1
1466,1589,3
75,600,1
1620,408,2
646,1911,1
815,1669,1
518,74,1
391,585,1
1599,97,2
679,559,1
753,894,2
1522,900,2
791,694,3
1016,1417,1
1892,1632,1
1640,169,1
161,881,1
1684,369,1
657,210,1
1353,605,1
1234,1469,1
1412,909,1
86,1488,2
722,1259,4
562,1309,4
1941,117,1
1305,831,1
1640,1535,1
1951,63,1
1244,1388,1
71,258,1
1594,1321,1
784,1944,1
1239,314,1
1943,759,1
1562,157,1
