x_coordinate,y_coordinate,no_packages
810,1200,1
618,660,1
322,1499,3
1621,1309,3
1329,649,1
1983,1150,1
1902,1256,1
457,1363,1
359,774,1
1410,603,1
1492,3,3
1942,1173,1
1578,1976,1
372,1233,1
1656,1981,1
1309,1158,1
1016,288,1
159,487,1
654,343,1
1972,181,1
1372,1308,1
687,914,1
429,511,1
717,525,1
1475,2,1
897,1500,1
340,1811,1
1805,775,1
768,207,1
1615,1769,1
1552,1407,1
924,150,1
68,603,1
534,1949,1
700,348,2
329,1499,1
1928,1839,3
692,1216,4
1829,988,1
883,1930,1
1243,1822,1
109,207,1
1995,389,1
1134,1478,2
1106,543,1
609,486,1
804,1170,1
1005,314,1
7,875,1
1687,1355,1
983,408,1
423,349,1
167,969,1
631,1607,1
1001,1832,1
186,1314,1
378,759,2
756,382,1
539,900,1
463,1714,1
126,309,1
1366,198,1
704,1655,1
1988,1549,1
1133,124,1
1676,1070,1
1096,1407,2
972,1172,2
975,612,1
1848,1748,1
1028,1169,2
1639,1170,1
1270,301,1
1550,919,1
342,1990,1
394,258,1
160,1399,1
1684,1284,1
1218,528,1
1489,1872,1
178,794,1
1130,667,2
1064,938,2
25,1610,1
1203,1070,1
230,848,1
1160,1204,1
1975,1924,1
216,1152,1
1609,585,2
1802,704,2
540,784,1
1171,1247,1
352,564,1
1266,1246,1
822,79,1
1800,678,1
100,1527,1
550,1837,1
691,1674,1
