x_coordinate,y_coordinate,no_packages
506, 415, 1
1546, 1913, 1
163, 728, 1
864, 1968, 1
780, 1871, 2
1861, 987, 1
1023, 405, 1
864, 969, 1
788, 363, 1
1171, 312, 1
845, 915, 1
1249, 148, 1
1614, 193, 1
145, 984, 1
1956, 1073, 1
1145, 1304, 1
927, 1369, 1
423, 958, 1
466, 1301, 1
1352, 984, 1
1221, 632, 2
463, 1325, 1
360, 633, 1
571, 1529, 1
1500, 1517, 1
1487, 1787, 1
1767, 1255, 1
1876, 1129, 1
16, 1656, 1
10, 36, 1
1136, 1525, 1
312, 680, 1
460, 1779, 2
690, 1346, 1
333, 1802, 1
1601, 380, 1
703, 1856, 1
586, 1868, 1
1119, 1534, 1
591, 706, 2
1783, 1433, 1
1122, 1092, 1
788, 1589, 1
169, 1477, 2
652, 887, 2
1748, 1859, 1
610, 1648, 2
413, 105, 1
1172, 1454, 1
718, 366, 1
653, 1252, 1
86, 1421, 1
1477, 1549, 1
919, 130, 1
462, 1629, 2
57, 830, 1
1681, 260, 1
555, 141, 1
1021, 1682, 1
134, 321, 1
366, 1461, 1
342, 427, 3
345, 970, 1
1527, 817, 1
1419, 106, 1
565, 1297, 1
1817, 1739, 1
66, 67, 1
903, 444, 1
1461, 613, 1
562, 1815, 2
1517, 1768, 2
1209, 440, 1
824, 1175, 2
778, 1547, 1
1542, 1092, 1
380, 521, 1
933, 648, 1
1240, 369, 1
1424, 1283, 1
1227, 261, 1
1178, 1390, 1
1082, 1719, 1
816, 1962, 1
1625, 160, 1
298, 1841, 1
1609, 1114, 1
1450, 687, 1
1044, 1212, 1
753, 1770, 1
471, 572, 2
432, 641, 1
530, 1519, 1
1129, 1228, 1
1816, 826, 1
444, 344, 1
1479, 1105, 1
1988, 1553, 1
13, 412, 1
1455, 899, 1
