no_steps,drone_travel_distance,utilization
5559,68698.27809046402,0.20774120045571745
5916,72255.6299046044,0.20562880324543611
5945,74957.21777492434,0.212026913372582
5784,75955.63132082381,0.22072383586906408
5602,73265.39516320615,0.2197131976674997
6518,72699.69900327858,0.18750639255395316
5860,69015.3474903198,0.1982935153583618
5897,74614.76948179778,0.2125091854615341
5787,72142.2142479326,0.20998214388572087
6280,72215.28884360292,0.19349787685774947
5657,68143.23509360704,0.20261033527782688
5650,72070.57597859096,0.2148377581120944
5892,70097.73331744476,0.19996039828015388
5722,68814.66721209172,0.20228940929744846
6279,69756.414022384,0.18665392578436057
5466,70900.14094466789,0.21801439199902428
5836,74264.77510367981,0.21390221612976926
6587,69955.92847802471,0.17858407975304894
6123,74090.67088389842,0.20333170014698676
6080,71007.13077570859,0.19638157894736843
5954,74704.5707681309,0.21117456051953867
5785,75331.91059244706,0.21895707288965716
5677,70276.8552087481,0.20817920263049733
5995,74435.65084772592,0.20864609396719488
5928,68421.691536358,0.19410706252811516
5810,75129.806092556,0.2172117039586919
5744,77001.27148020462,0.2252205199628598
6081,70333.87705690248,0.19454037164939977
5821,70492.14504781732,0.2035160052682815
6188,80718.39128533768,0.21921460892049127
5625,74410.82957530761,0.22234074074074073
6311,73676.31086125282,0.19629747002588074
5939,69685.04185578282,0.19705898860638715
5711,73916.96697718311,0.21788361641277068
5615,74539.01761956111,0.2234490946868507
6020,74887.04710623149,0.20938538205980067
5479,71936.47352875299,0.22066070450812192
6186,78242.0078662372,0.21230736070697273
5774,70976.20122467059,0.20673132432744487
5968,75830.52831611081,0.2136114834673816
