no_steps,drone_travel_distance,utilization
5591,68304.11618940068,0.20538961426101474
5898,71008.8885632877,0.20269582909460834
6358,78613.01917706562,0.20803187585194505
5859,77923.29737345513,0.22372987426750868
5782,73010.85373218442,0.21235443329874323
6202,74778.3250673334,0.20273030205310116
6023,67684.74118547294,0.18913608943494384
6049,77561.35679002515,0.21562792748112636
5856,72050.4886218324,0.2070525956284153
6436,73419.82509785162,0.19209654029417858
5641,68811.64937622593,0.20519411451870237
5851,72412.40872188407,0.2083689397823734
6046,72845.75928089883,0.20280626309405667
5759,69881.1600106078,0.20428893905191872
7053,73475.5771641792,0.17519731556311735
5895,74011.22690910872,0.2112524738478937
5686,74272.38683530746,0.21963301676632666
6627,69746.22916908718,0.1770786177757658
6524,77891.90679864936,0.2007459636215001
5934,71439.9061945696,0.20261768340635883
5847,74880.50520437016,0.2156376489367767
5885,75208.16691451002,0.21506655338431038
5734,72284.32381393235,0.21209743053133356
6346,74100.08105742112,0.19637041706061562
5853,67273.59879057667,0.19340509140611653
5949,75927.39400976746,0.21465792570179862
6204,79305.4168584831,0.21502256608639586
6029,71903.78505388652,0.20055841211920164
5917,70976.11317385887,0.20170694608754436
6208,79872.69668238403,0.21641430412371135
5721,75941.91531301149,0.223067062867797
6114,70695.18797920807,0.19452622396685204
5814,70400.21438092626,0.20338837289301687
6179,77474.36194661856,0.2111452770135405
5810,75173.74636566112,0.21769936890418817
6162,75084.86351227878,0.2049929676511955
5848,74175.22402202289,0.21320679434564524
6585,81658.3982388037,0.20845355606175653
6198,75111.38313306127,0.20358717865978274
6105,75186.47402427679,0.20698880698880698
